aaron,ˈɛɹən
jewish,ˈdʒuɪʃ
jews,ˈdʒuz
jill,ˈdʒɪl
jim,ˈdʒɪm
jimmy,ˈdʒɪmi
joan,ˈdʒown
job,ˈdʒɑb
jobs,ˈdʒɑbz
joe,ˈdʒow
joel,ˈdʒowəl
john,ˈdʒɑn
johnny,ˈdʒɑni
johns,ˈdʒɑnz
johnson,ˈdʒɑnsən
johnston,ˈdʒɑnstən
join,ˈdʒɔjn
joined,ˈdʒɔjnd
joining,ˈdʒɔjnɪŋ
joins,ˈdʒɔjnz
joint,ˈdʒɔjnt
joke,ˈdʒowk
jokes,ˈdʒowks
jon,ˈdʒɑn
jonathan,ˈdʒɑnəθən
jones,ˈdʒownz
jordan,ˈdʒɔɹdən
jose,ˌhowˈzej
joseph,ˈdʒowsəf
josh,ˈdʒɑʃ
joshua,ˈdʒɑˌʃuə
journal,ˈdʒɝnəl
journalism,ˈdʒɝnəˌlɪzəm
journalist,ˈdʒɝnələst
journalists,ˈdʒɝnələsts
journals,ˈdʒɝnəlz
journey,ˈdʒɝni
joy,ˈdʒɔj
joyce,ˈdʒɔjs
jr,ˈdʒunjɝ
juan,ˈhwɑn
judge,ˈdʒədʒ
judges,ˈdʒədʒɪz
judgment,ˈdʒədʒmənt
judicial,dʒuˈdɪʃəl
judy,ˈdʒudi
juice,ˈdʒus
julia,ˈdʒuljə
julian,ˈdʒuliən
julie,ˈdʒuli
july,ˌdʒuˈlaj
jump,ˈdʒəmp
jumping,ˈdʒəmpɪŋ
jun,ˈdʒən
junction,ˈdʒəŋkʃən
june,ˈdʒun
jungle,ˈdʒəŋɡəl
junior,ˈdʒunjɝ
junk,ˈdʒəŋk
jurisdiction,ˌdʒʊɹəsˈdɪkʃən
jury,ˈdʒʊɹi
just,ˈdʒəst
justice,ˈdʒəstəs
justify,ˈdʒəstəˌfaj
justin,ˈdʒəstən
juvenile,ˈdʒuvəˌnajl
kansas,ˈkænzəs
karaoke,ˌkɛɹiˈowki
karen,ˈkɛɹən
karl,ˈkɑɹl
karma,ˈkɑɹmə
kate,ˈkejt
kathy,ˈkæθi
katie,ˈkejti
katrina,kəˈtɹinə
kazakhstan,ˌkɑzɑkˈstɑn
keen,ˈkin
keep,ˈkip
keeping,ˈkipɪŋ
keeps,ˈkips
keith,ˈkiθ
kelly,ˈkɛli
ken,ˈkɛn
kennedy,ˈkɛnədi
kenneth,ˈkɛnɪθ
kenny,ˈkɛˌni
keno,ˈkinow
kent,ˈkɛnt
kentucky,kənˈtəki
kenya,ˈkɛnjə
kept,ˈkæpt
kernel,ˈkɝnəl
kerry,ˈkɛɹi
kevin,ˈkɛvɪn
key,ˈki
keyboard,ˈkiˌbɔɹd
keyboards,ˈkiˌbɔɹdz
keys,ˈkiz
keyword,ˈkiˌwɝd
keywords,ˈkiˌwɝdz
kick,ˈkɪk
kid,ˈkɪd
kidney,ˈkɪdni
kids,ˈkɪdz
kill,ˈkɪl
killed,ˈkɪld
killer,ˈkɪlɝ
killing,ˈkɪlɪŋ
kills,ˈkɪlz
kilometers,ˈkɪləˌmitɝz
kim,ˈkɪm
kinase,ˈkajˌnejz
kind,ˈkajnd
kinda,ˈkɪndə
kinds,ˈkajndz
king,ˈkɪŋ
kingdom,ˈkɪŋdəm
kings,ˈkɪŋz
kingston,ˈkɪŋstən
kirk,ˈkɝk
kiss,ˈkɪs
kissing,ˈkɪsɪŋ
kit,ˈkɪt
kitchen,ˈkɪtʃən
kits,ˈkɪts
kitty,ˈkɪti
kiwi,ˈkiwi
klein,ˈklajn
knee,ˈni
knew,ˈnju
knife,ˈnajf
knight,ˈnajt
knights,ˈnajts
knit,ˈnɪt
knitting,ˈnɪtɪŋ
knives,ˈnajvz
knock,ˈnɑk
know,ˈnow
knowing,ˈnowɪŋ
knowledge,ˈnɑlədʒ
known,ˈnown
knows,ˈnowz
kodak,ˈkowˌdæk
kong,ˈkɔŋ
korea,ˈkɹiə
korean,ˈkɹiən
kruger,ˈkɹuɡɝ
kurt,ˈkɝt
kuwait,kuˈwejt
kyle,ˈkajl
la,ˈlɑ
lab,ˈlæb
label,ˈlejbəl
labeled,ˈlejbəld
labels,ˈlejbəlz
labor,ˈlejbɝ
laboratories,ˈlæbɹəˌtɔɹiz
laboratory,ˈlæbɹəˌtɔɹi
labour,ˈlejbɝ
labs,ˈlæbz
lace,ˈlejs
lack,ˈlæk
ladder,ˈlædɝ
laden,ˈlejdən
ladies,ˈlejdiz
lady,ˈlejdi
lafayette,ˌlɑfejˈɛt
laid,ˈlejd
lake,ˈlejk
lakes,ˈlejks
lamb,ˈlæm
lambda,ˈlæmdə
lamp,ˈlæmp
lamps,ˈlæmps
lan,ˈlæn
lancaster,ˈlænˌkæstɝ
lance,ˈlæns
land,ˈlænd
landing,ˈlændɪŋ
lands,ˈlændz
landscape,ˈlænˌskejp
landscapes,ˈlænˌskejps
lane,ˈlejn
lanes,ˈlejnz
lang,ˈlæŋ
language,ˈlæŋɡwədʒ
languages,ˈlæŋɡwədʒəz
lanka,ˈlæŋkə
laos,ˈlaws
lap,ˈlæp
laptop,ˈlæpˌtɑp
laptops,ˈlæpˌtɑps
large,ˈlɑɹdʒ
largely,ˈlɑɹdʒli
larger,ˈlɑɹdʒɝ
largest,ˈlɑɹdʒəst
larry,ˈlɛɹi
las,ˈɛˈlejˈɛs
laser,ˈlejzɝ
last,ˈlæs
lasting,ˈlæstɪŋ
lat,ˈlæt
late,ˈlejt
lately,ˈlejtli
later,ˈlejtɝ
latest,ˈlejtəst
latex,ˈlejˌtɛks
latin,ˈlætən
latina,lɑˈtinə
latino,lɑˈtinow
latitude,ˈlætəˌtud
latter,ˈlætɝ
latvia,ˈlætviə
lauderdale,ˈlɔdɝˌdejl
laugh,ˈlæf
laughing,ˈlæfɪŋ
launch,ˈlɔntʃ
launched,ˈlɔntʃt
launches,ˈlɔntʃəz
laundry,ˈlɔndɹi
laura,ˈlɔɹə
lauren,ˈlɔɹən
law,ˈlɑ
lawn,ˈlɔn
lawrence,ˈlɔɹəns
laws,ˈlɔz
lawsuit,ˈlɔˌsut
lawyer,ˈlɔjɝ
lawyers,ˈlɔjɝz
lay,ˈlej
layer,ˈlejɝ
layers,ˈlejɝz
layout,ˈlejˌawt
lazy,ˈlejzi
lb,ˈpawnd
lbs,ˈpawndz
lead,ˈlɛd
leader,ˈlidɝ
leaders,ˈlidɝz
leadership,ˈlidɝˌʃɪp
leading,ˈlidɪŋ
leads,ˈlidz
leaf,ˈlif
league,ˈliɡ
lean,ˈlin
learn,ˈlɝn
learned,ˈlɝnd
learners,ˈlɝnɝz
learning,ˈlɝnɪŋ
lease,ˈlis
leasing,ˈlisɪŋ
least,ˈlist
leather,ˈlɛðɝ
leave,ˈliv
leaves,ˈlivz
leaving,ˈlivɪŋ
lebanon,ˈlɛbənən
lecture,ˈlɛktʃɝ
lectures,ˈlɛktʃɝz
led,ˈlɛd
lee,ˈli
leeds,ˈlidz
left,ˈlɛft
leg,ˈlɛɡ
legacy,ˈlɛɡəsi
legal,ˈliɡəl
legally,ˈliɡəli
legend,ˈlɛdʒənd
legendary,ˈlɛdʒənˌdɛɹi
legends,ˈlɛdʒəndz
legislation,ˌlɛdʒəˈslejʃən
legislative,ˈlɛdʒəˌslejtɪv
legislature,ˈlɛdʒəˌslejtʃɝ
legitimate,ləˈdʒɪtəmət
legs,ˈlɛɡz
leisure,ˈlɛʒɝ
lemon,ˈlɛmən
lender,ˈlɛndɝ
lenders,ˈlɛndɝz
lending,ˈlɛndɪŋ
length,ˈlɛŋkθ
lens,ˈlɛnz
lenses,ˈlɛnzəz
leo,ˈliow
leon,ˈliɑn
leonard,ˈlɛnɝd
leone,liˈown
les,ˈlej
lesbian,ˈlɛzbiən
lesbians,ˈlɛzbiənz
leslie,ˈlɛsli
less,ˈlɛs
lesser,ˈlɛsɝ
lesson,ˈlɛsən
lessons,ˈlɛsənz
let,ˈlɛt
lets,ˈlɛts
letter,ˈlɛtɝ
letters,ˈlɛtɝz
letting,ˈlɛtɪŋ
level,ˈlɛvəl
levels,ˈlɛvəlz
levy,ˈlɛvi
lewis,ˈluɪs
lexington,ˈlɛksɪŋtən
lexmark,ˈlɛksˌmɑɹk
lexus,ˈlɛksəs
liabilities,ˌlajəˈbɪlətiz
liability,ˌlajəˈbɪlɪti
liable,ˈlajəbəl
lib,ˈlɪb
liberal,ˈlɪˌbɝəl
liberia,ˌlajˈbɪˌɹiə
liberty,ˈlɪbɝˌti
librarian,lajˈbɹɛˌɹiən
libraries,ˈlajbɹɛˌɹiz
library,ˈlajbɹɛˌɹi
licence,ˈlajsəns
license,ˈlajsəns
licensed,ˈlajsənst
licenses,ˈlajsənsɪz
licensing,ˈlajsənsɪŋ
licking,ˈlɪkɪŋ
lid,ˈlɪd
lie,ˈlaj
liechtenstein,ˈlɪktənˌstajn
lies,ˈlajz
life,ˈlajf
lifestyle,ˈlajfˌstajl
lifetime,ˈlajfˌtajm
lift,ˈlɪft
light,ˈlajt
lighter,ˈlajtɝ
lighting,ˈlajtɪŋ
lightning,ˈlajtnɪŋ
lights,ˈlajts
lightweight,ˈlajtˈwejt
like,ˈlajk
liked,ˈlajkt
likelihood,ˈlajkliˌhʊd
likely,ˈlajkli
likes,ˈlajks
likewise,ˈlajˌkwajz
lime,ˈlajm
limit,ˈlɪmət
limitation,ˌlɪmɪˈtejʃən
limitations,ˌlɪmɪˈtejʃənz
limited,ˈlɪmətəd
limiting,ˈlɪmətɪŋ
limits,ˈlɪməts
limousines,ˈlɪməˌzinz
lincoln,ˈlɪŋkən
linda,ˈlɪndə
lindsay,ˈlɪndzi
line,ˈlajn
linear,ˈlɪniɝ
lined,ˈlajnd
lines,ˈlajnz
lingerie,ˈlɑnʒɝˌej
link,ˈlɪŋk
linked,ˈlɪŋkt
linking,ˈlɪŋkɪŋ
links,ˈlɪŋks
linux,ˈlɪnəks
lion,ˈlajən
lions,ˈlajənz
lip,ˈlɪp
lips,ˈlɪps
liquid,ˈlɪkwəd
lisa,ˈlisə
list,ˈlɪst
listed,ˈlɪstəd
listen,ˈlɪsən
listening,ˈlɪsənɪŋ
listing,ˈlɪstɪŋ
listings,ˈlɪstɪŋz
lists,ˈlɪsts
lite,ˈlajt
literacy,ˈlɪtɝəsi
literally,ˈlɪtɝəli
literary,ˈlɪtɝˌɛɹi
literature,ˈlɪtɝətʃɝ
lithuania,ˌlɪθəˈwejniə
litigation,ˌlɪtəˈɡejʃən
little,ˈlɪtəl
live,ˈlajv
lived,ˈlajvd
liver,ˈlɪvɝ
liverpool,ˈlɪvɝˌpul
lives,ˈlajvz
livestock,ˈlajvˌstɑk
living,ˈlɪvɪŋ
lloyd,ˈlɔjd
load,ˈlowd
loaded,ˈlowdɪd
loading,ˈlowdɪŋ
loads,ˈlowdz
loan,ˈlown
loans,ˈlownz
lobby,ˈlɑbi
local,ˈlowkəl
locale,lowˈkæl
locally,ˈlowkəli
locate,ˈlowˌkejt
located,ˈlowˌkejd
location,lowˈkejʃən
locations,lowˈkejʃənz
locator,ˈlowˌkejtɝ
lock,ˈlɑk
locked,ˈlɑkt
locking,ˈlɑkɪŋ
locks,ˈlɑks
lodge,ˈlɑdʒ
lodging,ˈlɑdʒɪŋ
log,ˈlɔɡ
logan,ˈlowɡən
logged,ˈlɔɡd
logging,ˈlɔɡɪŋ
logic,ˈlɑdʒɪk
logical,ˈlɑdʒɪkəl
login,ˈlɔˌɡɪn
logistics,ləˈdʒɪstɪks
logo,ˈlowɡow
logos,ˈlowˌɡowz
logs,ˈlɔɡz
lol,ˈlɔl
lolita,lowˈlitə
london,ˈləndən
lone,ˈlown
lonely,ˈlownli
long,ˈlɔŋ
longer,ˈlɔŋɡɝ
longest,ˈlɔŋɡəst
longitude,ˈlɑndʒəˌtud
look,ˈlʊk
looked,ˈlʊkt
looking,ˈlʊkɪŋ
looks,ˈlʊks
lookup,ˈlʊkəp
loop,ˈlup
loops,ˈlups
loose,ˈlus
lopez,ˈlowpɛz
lord,ˈlɔɹd
los,ˈlows
lose,ˈluz
losing,ˈluzɪŋ
loss,ˈlɔs
losses,ˈlɔsəz
lost,ˈlɔst
lot,ˈlɑt
lots,ˈlɑts
lottery,ˈlɑtɝi
lotus,ˈlowtəs
loud,ˈlawd
louis,ˈlui
louise,luˈiz
louisiana,luˌiziˈænə
louisville,ˈluiˌvɪl
lounge,ˈlawndʒ
love,ˈləv
loved,ˈləvd
lovely,ˈləvli
lover,ˈləvɝ
lovers,ˈləvɝz
loves,ˈləvz
loving,ˈləvɪŋ
low,ˈlow
lower,ˈlowɝ
lowest,ˈlowəst
lows,ˈlowz
lp,ˈɛlˈpi
ltd,ˈɛlˈtiˈdi
lucas,ˈlukəs
lucia,ˈluʃə
luck,ˈlək
lucky,ˈləki
lucy,ˈlusi
luggage,ˈləɡədʒ
luis,luˈis
luke,ˈluk
lunch,ˈləntʃ
lung,ˈləŋ
luther,ˈluθɝ
luxembourg,ˈləksəmˈbɝɡ
luxury,ˈləɡʒɝi
lycos,ˈlajkows
lying,ˈlajɪŋ
lynn,ˈlɪn
lyric,ˈlɪɹɪk
lyrics,ˈlɪɹɪks
ma,ˈmɑ
mac,ˈmæk
macedonia,ˌmækəˈdowniə
machine,məˈʃin
machinery,məˈʃinɝi
machines,məˈʃinz
macintosh,ˈmækənˌtɔʃ
macro,ˈmækɹow
macromedia,ˌmækɹowˈmidiə
mad,ˈmæd
madagascar,ˌmædəˈɡæskɝ
made,ˈmejd
madison,ˈmædəsən
madness,ˈmædnəs
madonna,məˈdɑnə
madrid,məˈdɹɪd
mag,ˈmæɡ
magazine,ˈmæɡəˌzin
magazines,ˈmæɡəˌzinz
magic,ˈmædʒɪk
magical,ˈmædʒɪkəl
magnet,ˈmæɡnət
magnetic,mæɡˈnɛtɪk
magnificent,mæɡˈnɪfəsənt
magnitude,ˈmæɡnəˌtud
maiden,ˈmejdən
mail,ˈmejl
mailed,ˈmejld
mailing,ˈmejlɪŋ
mailman,ˈmejlˌmæn
mails,ˈmejlz
main,ˈmejn
maine,ˈmejn
mainland,ˈmejnˌlænd
mainly,ˈmejnli
mainstream,ˈmejnˌstɹim
maintain,mejnˈtejn
maintained,mejnˈtejnd
maintaining,mejnˈtejnɪŋ
maintains,mejnˈtejnz
maintenance,ˈmejntənəns
major,ˈmejdʒɝ
majority,məˈdʒɔɹəti
make,ˈmejk
maker,ˈmejkɝ
makers,ˈmejkɝz
makes,ˈmejks
makeup,ˈmejˌkəp
making,ˈmejkɪŋ
malawi,məˈlɑwi
malaysia,məˈlejʒə
maldives,ˈmɔlˌdajvz
male,ˈmejl
males,ˈmejlz
mali,ˈmɑli
mall,ˈmɔl
malpractice,mælˈpɹæktəs
malta,ˈmɔltə
mambo,ˈmɑmbow
man,ˈmæn
manage,ˈmænədʒ
managed,ˈmænədʒd
management,ˈmænədʒmənt
manager,ˈmænədʒɝ
managers,ˈmænədʒɝz
managing,ˈmænədʒɪŋ
manchester,ˈmænˌtʃɛstɝ
mandate,ˈmænˌdejt
mandatory,ˈmændəˌtɔɹi
manga,ˈmæŋɡə
manhattan,mænˈhætən
manitoba,ˌmænɪˈtowbə
manner,ˈmænɝ
manor,ˈmænɝ
manual,ˈmænjuəl
manually,ˈmænjuəli
manuals,ˈmænjuəlz
manufacture,ˌmænjəˈfæktʃɝ
manufactured,ˌmænjəˈfæktʃɝd
manufacturer,ˌmænjəˈfæktʃɝɝ
manufacturers,ˌmænjəˈfæktʃɝɝz
manufacturing,ˌmænjəˈfæktʃɝɪŋ
many,ˈmɛni
map,ˈmæp
maple,ˈmejpəl
mapping,ˈmæpɪŋ
maps,ˈmæps
marathon,ˈmɛɹəˌθɑn
marble,ˈmɑɹbəl
marc,ˈmɑɹk
march,ˈmɑɹtʃ
marco,ˈmɑɹkow
marcus,ˈmɑɹkəs
mardi,ˈmɑɹdi
margaret,ˈmɑɹɡɝɪt
margin,ˈmɑɹdʒən
maria,mɝˈiə
mariah,mɝˈajə
marie,mɝˈi
marijuana,ˌmɛɹəˈwɑnə
marilyn,ˈmɛɹələn
marina,mɝˈinə
marine,mɝˈin
mario,ˈmɑɹiow
marion,ˈmɛɹiən
maritime,ˈmɛɹəˌtajm
mark,ˈmɑɹk
marked,ˈmɑɹkt
marker,ˈmɑɹkɝ
markers,ˈmɑɹkɝz
market,ˈmɑɹkət
marketing,ˈmɑɹkətɪŋ
marketplace,ˈmɑɹkətˌplejs
markets,ˈmɑɹkəts
marking,ˈmɑɹkɪŋ
marks,ˈmɑɹks
marriage,ˈmɛɹɪdʒ
married,ˈmɛɹid
marriott,ˈmɛɹiət
mars,ˈmɑɹz
marsh,ˈmɑɹʃ
marshall,ˈmɑɹʃəl
mart,ˈmɑɹt
martha,ˈmɑɹθə
martial,ˈmɑɹʃəl
martin,ˈmɑɹtən
marvel,ˈmɑɹvəl
mary,ˈmɛɹi
maryland,ˈmɛɹələnd
mask,ˈmæsk
mason,ˈmejsən
mass,ˈmæs
massachusetts,ˌmæsəˈtʃusəts
massage,məˈsɑʒ
massive,ˈmæsɪv
master,ˈmæstɝ
mastercard,ˈmæstɝˌkɑɹd
masters,ˈmæstɝz
masturbating,ˈmæstɝˌbejtɪŋ
masturbation,ˌmæstɝˈbejʃən
mat,ˈmæt
match,ˈmætʃ
matched,ˈmætʃt
matches,ˈmætʃəz
matching,ˈmætʃɪŋ
mate,ˈmejt
material,məˈtɪɹiəl
materials,məˈtɪɹiəlz
maternity,məˈtɝnɪti
math,ˈmæθ
mathematical,ˌmæθəˈmætɪkəl
mathematics,ˌmæθəˈmætɪks
mating,ˈmejtɪŋ
matrix,ˈmejtɹɪks
mats,ˈmæts
matt,ˈmæt
matter,ˈmætɝ
matters,ˈmætɝz
matthew,ˈmæθju
mattress,ˈmætɹəs
mature,məˈtʃʊɹ
maui,ˈmawi
mauritius,mɔˈɹɪtiəs
max,ˈmæks
maximize,ˈmæksəˌmajz
maximum,ˈmæksəməm
may,ˈmej
maybe,ˈmejbi
mayor,ˈmejɝ
mazda,ˈmæzdə
mba,ˈɛmˈbiˈej
mc,ˈɛmˈsi
mcdonald,məkˈdɑnəld
md,ˌɛmˈdi
me,ˈmi
meal,ˈmil
meals,ˈmilz
mean,ˈmin
meaning,ˈminɪŋ
meaningful,ˈminɪŋfəl
means,ˈminz
meant,ˈmɛnt
meanwhile,ˈminˌwajl
measure,ˈmɛʒɝ
measured,ˈmɛʒɝd
measurement,ˈmɛʒɝmənt
measurements,ˈmɛʒɝmənts
measures,ˈmɛʒɝz
measuring,ˈmɛʒɝɪŋ
meat,ˈmit
mechanical,məˈkænɪkəl
mechanics,məˈkænɪks
mechanism,ˈmɛkəˌnɪzəm
mechanisms,ˈmɛkəˌnɪzəmz
medal,ˈmɛdəl
media,ˈmidiə
median,ˈmidiən
medicaid,ˈmɛdəˌkejd
medical,ˈmɛdəkəl
medicare,ˈmɛdəˌkɛɹ
medication,ˌmɛdəˈkejʃən
medications,ˌmɛdəˈkejʃənz
medicine,ˈmɛdəsən
medicines,ˈmɛdəsənz
medieval,miˈdivəl
meditation,ˌmɛdəˈtejʃən
mediterranean,ˌmɛdətɝˈejniən
medium,ˈmidiəm
meet,ˈmit
meeting,ˈmitɪŋ
meetings,ˈmitɪŋz
meets,ˈmits
meetup,ˈmiˌtəp
mega,ˈmɛɡə
mel,ˈmɛl
melbourne,ˈmɛlbɝn
melissa,məˈlɪsə
member,ˈmɛmbɝ
members,ˈmɛmbɝz
membership,ˈmɛmbɝˌʃɪp
membrane,ˈmɛmˌbɹejn
memo,ˈmɛˌmow
memorabilia,ˌmɛmɝəˈbiljə
memorial,məˈmɔɹiəl
memories,ˈmɛmɝiz
memory,ˈmɛmɝi
memphis,ˈmɛmfəs
men,ˈmɛn
mens,ˈmɛnz
mental,ˈmɛntəl
mention,ˈmɛnʃən
mentioned,ˈmɛnʃənd
mentor,ˈmɛnˌtɔɹ
menu,ˈmɛnju
menus,ˈmɛnjuz
mercedes,mɝˈsejdiz
merchandise,ˈmɝtʃənˌdajz
merchant,ˈmɝtʃənt
merchants,ˈmɝtʃənts
mercury,ˈmɝkjɝi
mercy,ˈmɝsi
mere,ˈmɪɹ
merely,ˈmɪɹli
merge,ˈmɝdʒ
merger,ˈmɝdʒɝ
merit,ˈmɛɹət
merry,ˈmɛɹi
mesa,ˈmejsə
mesh,ˈmɛʃ
mess,ˈmɛs
message,ˈmɛsədʒ
messages,ˈmɛsədʒəz
messaging,ˈmɛsɪdʒɪŋ
messenger,ˈmɛsəndʒɝ
met,ˈmɛt
meta,ˈmitə
metabolism,məˈtæbəˌlɪzəm
metal,ˈmɛtəl
metallic,məˈtælɪk
metallica,məˈtælɪkə
metals,ˈmɛtəlz
meter,ˈmitɝ
meters,ˈmitɝz
method,ˈmɛθəd
methodology,ˌmɛθəˈdɑlədʒi
methods,ˈmɛθədz
metres,ˈmitɝz
metric,ˈmɛtɹɪk
metro,ˈmɛˌtɹow
metropolitan,ˌmɛtɹəˈpɑlətən
mexican,ˈmɛksəkən
mexico,ˈmɛksəˌkow
meyer,ˈmajɝ
mg,ˌɛmˈɡi
mia,ˈmiə
miami,majˈæmi
mic,ˈmɪk
mice,ˈmajs
michael,ˈmajkəl
michel,ˈmajkəl
michelle,mɪˈʃɛl
michigan,ˈmɪʃɪɡən
micro,ˈmajˌkɹow
microphone,ˈmajkɹəˌfown
microsoft,ˈmajˌkɹowˈsɔft
microwave,ˈmajkɹəˌwejv
mid,ˈmɪd
middle,ˈmɪdəl
midi,ˈmidi
midlands,ˈmɪdˌlændz
midnight,ˈmɪdˌnajt
midwest,ˌmɪdˈwɛst
might,ˈmajt
mighty,ˈmajti
migration,majˈɡɹejʃən
mike,ˈmajk
mil,ˈmɪl
milan,ˈmajˌlæn
mild,ˈmajld
mile,ˈmajl
mileage,ˈmajlədʒ
miles,ˈmajəlz
military,ˈmɪləˌtɛɹi
milk,ˈmɪlk
mill,ˈmɪl
millennium,məˈlɛniəm
miller,ˈmɪlɝ
million,ˈmɪljən
millions,ˈmɪljənz
mills,ˈmɪlz
milton,ˈmɪltən
milwaukee,mɪlˈwɔki
mime,ˈmajm
min,ˈmɪn
mind,ˈmajnd
minds,ˈmajndz
mine,ˈmajn
mineral,ˈmɪnɝəl
minerals,ˈmɪnɝəlz
mines,ˈmajnz
mini,ˈmɪni
miniature,ˈmɪniəˌtʃʊɹ
minimal,ˈmɪnəməl
minimize,ˈmɪnəˌmajz
minimum,ˈmɪnəməm
mining,ˈmajnɪŋ
minister,ˈmɪnəstɝ
ministers,ˈmɪnəstɝz
ministries,ˈmɪnɪstɹiz
ministry,ˈmɪnəstɹi
minneapolis,ˌmɪniˈæpəlɪs
minnesota,ˌmɪnɪˈsowtə
minolta,mɪˈnɑlˌtə
minor,ˈmajnɝ
minority,majˈnɔɹəti
mint,ˈmɪnt
minus,ˈmajnəs
minute,ˈmɪnət
minutes,ˈmɪnəts
miracle,ˈmɪɹəkəl
mirror,ˈmɪɹɝ
mirrors,ˈmɪɹɝz
miscellaneous,ˌmɪsəˈlejniəs
miss,ˈmɪs
missed,ˈmɪst
missile,ˈmɪsəl
missing,ˈmɪsɪŋ
mission,ˈmɪʃən
missions,ˈmɪʃənz
mississippi,ˌmɪsɪˈsɪpi
missouri,məˈzɝə
mistake,mɪˈstejk
mistakes,mɪˈstejks
mistress,ˈmɪstɹəs
mit,ˈɛˈmajˈti
mitchell,ˈmɪtʃəl
mitsubishi,ˌmɪtˌsuˈbiʃi
mix,ˈmɪks
mixed,ˈmɪkst
mixer,ˈmɪksɝ
mixing,ˈmɪksɪŋ
mixture,ˈmɪkstʃɝ
mobile,ˈmowbəl
mobiles,ˈmowbəlz
mobility,mowˈbɪləti
mod,ˈmɔd
mode,ˈmowd
model,ˈmɑdəl
modeling,ˈmɑdəˌlɪŋ
modelling,ˈmɑdəˌlɪŋ
models,ˈmɑdəlz
modem,ˈmowdəm
modems,ˈmowdəmz
moderate,ˈmɑdɝˌejt
moderator,ˈmɑdɝˌejtɝ
moderators,ˈmɑdɝˌejtɝz
modern,ˈmɑdɝn
modes,ˈmowdz
modification,ˌmɑdəfəˈkejʃən
modifications,ˌmɑdəfəˈkejʃənz
modified,ˈmɑdəˌfajd
modify,ˈmɑdəˌfaj
modular,ˈmɑdʒəlɝ
module,ˈmɑdʒul
modules,ˈmɑdʒulz
moisture,ˈmɔjstʃɝ
mold,ˈmowld
moldova,ˌmowlˈdowvə
molecular,məˈlɛkjəlɝ
molecules,ˈmɑləkˌjulz
mom,ˈmɑm
moment,ˈmowmənt
moments,ˈmowmənts
momentum,mowˈmɛntəm
moms,ˈmɑmz
monaco,ˈmɑnəˌkow
monday,ˈmənˌdej
monetary,ˈmɑnəˌtɛɹi
money,ˈməni
mongolia,mɑŋˈɡowliə
monica,ˈmɑnɪkə
monitor,ˈmɑnətɝ
monitored,ˈmɑnətɝd
monitoring,ˈmɑnətɝɪŋ
monitors,ˈmɑnətɝz
monkey,ˈməŋki
mono,ˈmownow
monroe,mənˈɹow
monster,ˈmɑnstɝ
monsters,ˈmɑnstɝz
montana,mɑnˈtænə
monte,ˈmɑnti
montgomery,mɑntˈɡəmɹi
month,ˈmənθ
monthly,ˈmənθli
months,ˈmənθs
montreal,ˌməntɹiˈɔl
mood,ˈmud
moon,ˈmun
moore,ˈmɔɹ
moral,ˈmɔɹəl
more,ˈmɔɹ
moreover,mɔˈɹowvɝ
morgan,ˈmɔɹɡən
morning,ˈmɔɹnɪŋ
morocco,mɝˈɑkow
morris,ˈmɔɹəs
morrison,ˈmɔɹɪsən
mortality,mɔɹˈtæləti
mortgage,ˈmɔɹɡədʒ
mortgages,ˈmɔɹɡədʒəz
moscow,ˈmɑˌskow
moses,ˈmowzəs
moss,ˈmɔs
most,ˈmows
mostly,ˈmowsli
motel,mowˈtɛl
motels,mowˈtɛlz
mother,ˈməðɝ
motherboard,ˈməðɝˌbɔɹd
mothers,ˈməðɝz
motion,ˈmowʃən
motivated,ˈmowtəˌvejtəd
motivation,ˌmowtəˈvejʃən
motor,ˈmowtɝ
motorcycle,ˈmowtɝˌsajkəl
motorcycles,ˈmowtɝˌsajkəlz
motorola,ˌmowtɝˈowlə
motors,ˈmowtɝz
mount,ˈmawnt
mountain,ˈmawntən
mountains,ˈmawntənz
mounted,ˈmawnɪd
mounting,ˈmawntɪŋ
mounts,ˈmawnts
mouse,ˈmaws
mouth,ˈmawθ
move,ˈmuv
moved,ˈmuvd
movement,ˈmuvmənt
movements,ˈmuvmənts
movers,ˈmuvɝz
moves,ˈmuvz
movie,ˈmuvi
movies,ˈmuviz
moving,ˈmuvɪŋ
mozambique,ˌmowzæmˈbik
mpeg,ˈɛmˌpɛɡ
mpg,ˈɛmˈpiˈdʒi
mph,ˈɛmˈpiˈejtʃ
mr,ˈmɪstɝ
mrs,ˈmɪsɪz
ms,ˈmɪz
mtv,ˈɛmˈtiˈvi
mu,ˈmu
much,ˈmətʃ
mud,ˈməd
mug,ˈməɡ
multi,ˈməlti
multimedia,ˌməltajˈmidiə
multiple,ˈməltəpəl
mumbai,ˌmʊmˈbaj
munich,ˈmjunɪk
municipal,mjuˈnɪsəpəl
municipality,ˌmjunɪsəˈpæləti
murder,ˈmɝdɝ
murphy,ˈmɝfi
murray,ˈməɹi
muscle,ˈməsəl
muscles,ˈməsəlz
museum,ˈmjuziəm
museums,ˈmjuziəmz
music,ˈmjuzɪk
musical,ˈmjuzɪkəl
musician,mjuˈzɪʃən
musicians,mjuˈzɪʃənz
muslim,ˈməzləm
muslims,ˈməzləmz
must,ˈməst
mustang,ˈməsˌtæŋ
mutual,ˈmjutʃuəl
my,ˈmaj
myanmar,ˈmjɑnˈmɑɹ
myers,ˈmajɝz
